Category,ILM_ID,Field_ID,Internal Parameter,Bytes,Description,Note
,MSG_ID_TDD_EM_CSCE_SERV_CELL_S_STATUS_IND,IDLE_SCELL_UARFCN,serv_cell.uarfcn_DL,2,unsigned,0
,MSG_ID_TDD_EM_CSCE_SERV_CELL_S_STATUS_IND,IDLE_SCELL_CPI,serv_cell.psc,2,unsigned,0
,MSG_ID_TDD_EM_CSCE_SERV_CELL_S_STATUS_IND,IDLE_SCELL_RSCP,serv_cell.rscp,4,signed,0
,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,CELL_RAT_TYPE,RAT_type,1,enum,0
,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,IDLE_NCELL_NUM,neigh_cell_count,1,unsigned,0
,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,IDLE_NCELL_UARFCN,choice.neigh_cells[16].uarfcn_DL,2,unsigned,0
,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,IDLE_NCELL_CPI,choice.neigh_cells[16].psc,2,unsigned,0
,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,IDLE_NCELL_RSCP,choice.neigh_cells[16].rscp,4,signed,0
,MSG_ID_TDD_EM_MEME_DCH_UMTS_CELL_INFO_IND,DCH_TCELL_NUM,num_cells,1,unsigned,0
,MSG_ID_TDD_EM_MEME_DCH_UMTS_CELL_INFO_IND,DCH_TCELL_UARFCN,umts_cell_list[64].UARFCN,2,unsigned,0
,MSG_ID_TDD_EM_MEME_DCH_UMTS_CELL_INFO_IND,DCH_TCELL_CPI,umts_cell_list[64].CELLPARAID,2,unsigned,0
,MSG_ID_TDD_EM_MEME_DCH_UMTS_CELL_INFO_IND,DCH_TCELL_RSCP,umts_cell_list[64].RSCP,4,signed,0
,MSG_ID_TDD_EM_MEME_DCH_UMTS_CELL_INFO_IND,DCH_SCELL_ISCP[6],umts_cell_list[64].ISCP[6],4,signed,0
,MSG_ID_TDD_EM_MEME_DCH_UMTS_CELL_INFO_IND,IS_DCH_SCELL,umts_cell_list[64].isServingCell,1,bool,0

,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,CELL_RAT_TYPE,RAT_type,1,enum,0
,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,IDLE_LTE_NCELL_NUM,neigh_cell_count,1,unsigned,0
,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,IDLE_LTE_NCELL_EARFCN,choice.LTE_neigh_cells[16].earfcn,2,unsigned,0
,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,IDLE_LTE_NCELL_PCI,choice.LTE_neigh_cells[16].pci,2,unsigned,0
,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,IDLE_LTE_NCELL_RSRP,choice.LTE_neigh_cells[16].rsrp,4,signed,0
,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,IDLE_LTE_NCELL_RSRQ,choice.LTE_neigh_cells[16].rsrq,4,signed,0
,MSG_ID_TDD_EM_MEME_DCH_LTE_CELL_INFO_IND,DCH_LTE_NCELL_NUM,num_cells,1,unsigned,0
,MSG_ID_TDD_EM_MEME_DCH_LTE_CELL_INFO_IND,DCH_LTE_NCELL_EARFCN,lte_cell_list[32].EARFCN,2,unsigned,0
,MSG_ID_TDD_EM_MEME_DCH_LTE_CELL_INFO_IND,DCH_LTE_NCELL_PCI,lte_cell_list[32].PCI,2,unsigned,0
,MSG_ID_TDD_EM_MEME_DCH_LTE_CELL_INFO_IND,DCH_LTE_NCELL_RSRP,lte_cell_list[32].RSRP,2,signed,0
,MSG_ID_TDD_EM_MEME_DCH_LTE_CELL_INFO_IND,DCH_LTE_NCELL_RSRQ,lte_cell_list[32].RSRQ,2,signed,0

,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,CELL_RAT_TYPE,RAT_type,1,enum,0
,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,IDLE_GSM_NCELL_NUM,neigh_cell_count,1,unsigned,0
,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,IDLE_GSM_NCELL_ARFCN,choice.GSM_neigh_cells[16].arfcn,2,unsigned,0
,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,IDLE_GSM_NCELL_BSIC,choice.GSM_neigh_cells[16].bsic,1,unsigned,0
,MSG_ID_TDD_EM_CSCE_NEIGH_CELL_S_STATUS_IND,IDLE_GSM_NCELL_RSSI,choice.GSM_neigh_cells[16].rssi,4,signed,0

,MSG_ID_TDD_EM_MEME_DCH_GSM_CELL_INFO_IND,DCH_GSM_NCELL_NUM,num_cells,1,unsigned,0
,MSG_ID_TDD_EM_MEME_DCH_GSM_CELL_INFO_IND,DCH_GSM_NCELL_ARFCN,gsm_cell_list[6].arfcn,2,unsigned,0
,MSG_ID_TDD_EM_MEME_DCH_GSM_CELL_INFO_IND,DCH_GSM_NCELL_BSIC,gsm_cell_list[6].bsic,1,unsigned,0
,MSG_ID_TDD_EM_MEME_DCH_GSM_CELL_INFO_IND,DCH_GSM_NCELL_RSSI,gsm_cell_list[6].rssi,2,signed,0
,MSG_ID_TDD_EM_URR_3G_GENERAL_STATUS_IND,3G_RRC_STATE,uas_3g_general_status.umts_rrc_state,1,enum,0
,,,,,,0
,MSG_ID_EM_RRM_MEASUREMENT_REPORT_INFO_IND,SCELL_ARFCN,rr_em_measurement_report_info.serving_arfcn,2,unsigned,0
,MSG_ID_EM_RRM_MEASUREMENT_REPORT_INFO_IND,SCELL_BSIC,rr_em_measurement_report_info.serving_bsic,1,unsigned,0
,MSG_ID_EM_RRM_MEASUREMENT_REPORT_INFO_IND,SCELL_RSSI,rr_em_measurement_report_info.serv_rla_in_quarter_dbm,2,signed,0
,MSG_ID_EM_RRM_MEASUREMENT_REPORT_INFO_IND,GSM_NCELL_NUM,rr_em_measurement_report_info.num_of_carriers,1,unsigned,0
,MSG_ID_EM_RRM_MEASUREMENT_REPORT_INFO_IND,GSM_NCELL_ARFCN,rr_em_measurement_report_info.nc_arfcn[32],2,unsigned,0
,MSG_ID_EM_RRM_MEASUREMENT_REPORT_INFO_IND,GSM_NCELL_BSIC,rr_em_measurement_report_info.nc_bsic[32],1,unsigned,0
,MSG_ID_EM_RRM_MEASUREMENT_REPORT_INFO_IND,GSM_NCELL_RSSI,rr_em_measurement_report_info.rla_in_quarter_dbm[32],2,signed,0

,MSG_ID_EM_RRM_IR_4G_NEIGHBOR_MEAS_STATUS_IND,LTE_NCELL_NUM,ir_4g_neighbor_meas_status[6].is_valid,1,bool,0
,MSG_ID_EM_RRM_IR_4G_NEIGHBOR_MEAS_STATUS_IND,LTE_NCELL_EARFCN,ir_4g_neighbor_meas_status[6].earfcn,2,unsigned,0
,MSG_ID_EM_RRM_IR_4G_NEIGHBOR_MEAS_STATUS_IND,LTE_NCELL_PCI,ir_4g_neighbor_meas_status[6].pci,2,unsigned,0
,MSG_ID_EM_RRM_IR_4G_NEIGHBOR_MEAS_STATUS_IND,LTE_NCELL_RSRQ,ir_4g_neighbor_meas_status[6].rsrp,2,signed,0
,MSG_ID_EM_RRM_IR_4G_NEIGHBOR_MEAS_STATUS_IND,LTE_NCELL_RSRP,ir_4g_neighbor_meas_status[6].rsrq,2,signed,0

,MSG_ID_EM_RRM_IR_3G_NEIGHBOR_MEAS_STATUS_IND,TDS_NCELL_NUM,ir_3g_neighbor_meas_status[6].is_valid,1,bool,0
,MSG_ID_EM_RRM_IR_3G_NEIGHBOR_MEAS_STATUS_IND,TDS_NCELL_UARFCN,ir_3g_neighbor_meas_status[6].uarfcn,2,unsigned,0
,MSG_ID_EM_RRM_IR_3G_NEIGHBOR_MEAS_STATUS_IND,TDS_NCELL_PCI,ir_3g_neighbor_meas_status[6].phy_id,2,unsigned,0
,MSG_ID_EM_RRM_IR_3G_NEIGHBOR_MEAS_STATUS_IND,TDS_NCELL_RSCP,ir_3g_neighbor_meas_status[6].strength,2,signed,0
,,,,,,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTRARAT_INFO_IND,LTE_SERVING_EARFCN,serving_info.earfcn,2,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTRARAT_INFO_IND,LTE_SERVING_PCI,serving_info.pci,2,unsigned,0
,MSG_ID_EM_EL1_STATUS_IND,LTE_SERVING_RSRP_RX,dl_info[2].dl_rsrp[2],2*2,signed,0
,MSG_ID_EM_EL1_STATUS_IND,LTE_SERVING_RSRP,dl_info[2].rsrp,2,signed,0
,MSG_ID_EM_EL1_STATUS_IND,LTE_SERVING_RSRQ_RX,dl_info[2].dl_rsrq[2],2*2,signed,0
,MSG_ID_EM_EL1_STATUS_IND,LTE_SERVING_RSRQ,dl_info[2].rsrq,2,signed,0
,MSG_ID_EM_EL1_STATUS_IND,LTE_SERVING_SINR_RX,dl_info[2].dl_sinr[2],2*2,signed,0
,MSG_ID_EM_EL1_STATUS_IND,LTE_SERVING_SINR,dl_info[2].sinr,2,signed,0
,MSG_ID_EM_EL1_STATUS_IND,LTE_SERVING_RSSI_RX,dl_info[2].dl_rssi[2],2*2,signed,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTRARAT_INFO_IND,LTE_INTRA_NEIGHBOR_CELL_NUM,intra_info.cell_num,1,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTRARAT_INFO_IND,LTE_INTRA_NEIGHBOR_EARFCN,serving_info.earfcn,2,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTRARAT_INFO_IND,LTE_INTRA_NEIGHBOR_PCI,intra_info.intra_cell[16].pci,2,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTRARAT_INFO_IND,LTE_INTRA_NEIGHBOR_RSRP,intra_info.intra_cell[16].rsrp,4,signed,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTRARAT_INFO_IND,LTE_INTRA_NEIGHBOR_RSRQ,intra_info.intra_cell[16].rsrq,4,signed,0
